City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,La Candelaria,VE,85.14,scattered clouds,9.6855,-63.4038,Propiedad R&S RR1318
408,Uribia,CO,81.63,clear sky,11.7139,-72.266,Hotel Uribia
411,Beloha,MG,75.31,moderate rain,-25.1667,45.05,
412,Irati,BR,80.65,scattered clouds,-25.4672,-50.6511,Projetos e Execuções Elétricas Thoms Ltda
415,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
417,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
428,Dutse,NG,86.56,clear sky,11.7594,9.3392,Central Mosque Galamawa
434,Mocajuba,BR,82.02,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
436,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
440,Pinillos,CO,84.13,clear sky,8.9193,-74.4677,HOTEL CASA BLANCA
445,Cap Malheureux,MU,82.89,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
452,Dembi Dolo,ET,75.04,overcast clouds,8.5333,34.8,Dembi dollo plaza
459,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
462,Igunga,TZ,80.94,overcast clouds,-4.2833,33.8833,Victoria Lodge
465,Sao Felix Do Xingu,BR,87.35,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
470,Nicoya,CR,80.15,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
474,Tiruchchendur,IN,79.86,scattered clouds,8.4833,78.1167,Hotel Udhayam International
476,Rafaela,AR,75.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
477,Port Keats,AU,78.66,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
479,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
480,Saint-Paul,RE,82.51,overcast clouds,-21.0096,55.2707,Boucan Canot
483,Edd,ER,76.03,overcast clouds,13.9297,41.6925,
484,Kasongo,CD,79.25,light rain,-4.45,26.6667,Guest Hôtel
487,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
492,Aitape,PG,79.43,overcast clouds,-3.1374,142.3475,
493,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
495,Jardim,BR,78.53,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
497,Karaton,ID,80.76,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
504,Mhango,TZ,77.16,overcast clouds,-3.2833,32.85,
508,Bunia,CD,85.1,overcast clouds,1.5667,30.25,Gold Star International Hotel
509,Lazaro Cardenas,MX,76.1,clear sky,17.9583,-102.2,quinta antigua
510,Tres Lagoas,BR,83.66,scattered clouds,-20.7511,-51.6783,Druds Express Hotel
516,Upata,VE,82.54,broken clouds,8.0086,-62.3989,Posada Villa Nela
519,Agadez,NE,75.47,clear sky,19.75,10.25,
520,Lorengau,PG,81.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
526,Meulaboh,ID,78.69,overcast clouds,4.1363,96.1285,Kost Pria
528,Lubao,PH,81.14,scattered clouds,14.9167,120.55,Hacienda Gracia
529,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
530,Dharapuram,IN,82.24,broken clouds,10.7333,77.5167,Sakthi Lodge
532,Namatanai,PG,80.11,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
537,Mumford,GH,84.38,overcast clouds,5.2618,-0.759,Spanish Villa
538,Madang,PG,76.69,light rain,-5.2246,145.7966,Comfort Inn Hotel
545,Namibe,AO,78.55,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
546,Vicosa,BR,78.19,light rain,-20.7539,-42.8819,Vivant Residence
547,Gizo,SB,83.12,overcast clouds,-8.103,156.8419,Imagination Island
555,Ranong,TH,76.21,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
562,Santa Cruz De Tenerife,ES,77.81,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
565,Carutapera,BR,81.14,overcast clouds,-1.195,-46.02,Lidera
