City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Brownwood,US,2022-02-02 17:28:39,31.7093,-98.9912,42.57,77,100,14.97
254,Manggar,ID,2022-02-02 17:28:39,-2.8833,108.2667,78.84,81,86,5.44
255,Dingle,PH,2022-02-02 17:28:40,10.9995,122.6711,73.38,95,98,7.65
256,Raudeberg,NO,2022-02-02 17:28:40,61.9875,5.1352,34.47,87,100,1.99
257,Mumford,GH,2022-02-02 17:28:40,5.2618,-0.759,82.71,71,30,12.53
258,Port Elizabeth,ZA,2022-02-02 17:27:27,-33.918,25.5701,75.09,100,40,18.41
259,Kahului,US,2022-02-02 17:27:36,20.8947,-156.47,67.68,78,0,5.75
260,Rabaul,PG,2022-02-02 17:28:40,-4.1967,152.1721,79.39,78,99,11.07
261,Perth,AU,2022-02-02 17:27:55,-31.9333,115.8333,82.09,29,0,25.32
262,Oranjemund,NA,2022-02-02 17:28:41,-28.55,16.4333,68.43,84,69,9.26
263,Santa Cruz,BO,2022-02-02 17:28:41,-17.8,-63.1667,91.45,55,40,11.5
264,Saskylakh,RU,2022-02-02 17:28:41,71.9167,114.0833,-28.88,100,33,2.89
265,Eureka,US,2022-02-02 17:28:41,40.8021,-124.1637,48.2,72,8,1.99
266,Kutno,PL,2022-02-02 17:28:42,52.2306,19.3641,36.41,89,94,13.71
267,Kinsale,IE,2022-02-02 17:28:42,51.7075,-8.5306,49.37,81,75,8.05
268,Hoi An,VN,2022-02-02 17:28:42,15.8794,108.335,71.56,88,35,6.98
269,Fenoarivo Atsinanana,MG,2022-02-02 17:29:42,-17.3667,49.4167,78.48,79,97,12.15
270,Agua Verde,MX,2022-02-02 17:29:43,22.9,-106.05,74.12,46,0,4.68
271,Kieta,PG,2022-02-02 17:29:43,-6.2167,155.6333,79.48,85,100,15.03
272,Fraga,ES,2022-02-02 17:29:43,41.5229,0.3489,60.53,52,0,5.37
273,Nishihara,JP,2022-02-02 17:29:43,26.1842,127.7558,69.08,94,75,3.44
274,Portland,US,2022-02-02 17:27:19,45.5234,-122.6762,42.84,96,100,1.01
275,Tamale,GH,2022-02-02 17:29:44,9.4008,-0.8393,93.56,6,51,4.68
276,Wakkanai,JP,2022-02-02 17:29:44,45.4094,141.6739,24.57,68,100,12.26
277,Hokitika,NZ,2022-02-02 17:29:44,-42.7167,170.9667,66.56,99,100,17.18
278,Tiznit,MA,2022-02-02 17:29:44,29.5833,-9.5,77.74,18,62,2.24
279,Tran,BG,2022-02-02 17:29:45,42.8353,22.6517,31.68,96,99,5.01
280,Lagos,NG,2022-02-02 17:26:18,6.5833,3.75,88.12,42,1,8.5
281,Porto Novo,BJ,2022-02-02 17:29:45,6.4965,2.6036,85.82,46,8,10.29
282,Bousse,BF,2022-02-02 17:29:45,12.6606,-1.8922,86.9,6,3,13.02
283,Wajima,JP,2022-02-02 17:29:45,37.4,136.9,38.34,78,99,11.16
284,Leningradskiy,RU,2022-02-02 17:29:46,69.3833,178.4167,-12.84,96,35,10.85
285,Cayenne,GF,2022-02-02 17:29:46,4.9333,-52.3333,82.09,83,75,8.01
286,Kitami,JP,2022-02-02 17:29:46,43.8031,143.8908,8.2,94,79,4.99
287,Nanortalik,GL,2022-02-02 17:29:46,60.1432,-45.2371,6.49,76,6,15.39
288,Marzuq,YE,2022-02-02 17:29:47,14.4,46.4667,70.23,47,52,2.51
289,Zyryanka,RU,2022-02-02 17:29:47,65.75,150.85,-25.83,100,25,1.34
290,Nevel,RU,2022-02-02 17:29:47,56.0209,29.9284,24.15,97,100,2.55
291,Calabozo,VE,2022-02-02 17:29:47,8.9242,-67.4293,94.1,34,29,9.13
292,Lindi,TZ,2022-02-02 17:29:48,-10.0,39.7167,77.16,91,38,4.25
293,High Level,CA,2022-02-02 17:25:26,58.5169,-117.136,-30.89,68,40,2.3
294,Nicoya,CR,2022-02-02 17:29:48,10.1483,-85.452,89.15,33,2,3.31
